Module,File,Line,Hard-coded value,Expected config section/key
OpenSim.Server.Handlers.Inventory,OpenSim/Server/Handlers/Inventory/InventoryServerInConnector.cs,80,false,
OpenSim.Server.Handlers.Land,OpenSim/Server/Handlers/Land/LandServiceInConnector.cs,58,false,
OpenSim.Server.Handlers.Login,OpenSim/Server/Handlers/Login/LLLoginServiceInConnector.cs,91,false,LoginService:HasProxy
OpenSim.Server.Handlers.Login,OpenSim/Server/Handlers/Login/LLLoginServiceInConnector.cs,94,false,LoginService:DOSAllowXForwardedForHeader
OpenSim.Server.Handlers.Login,OpenSim/Server/Handlers/Login/LLLoginServiceInConnector.cs,96,10000,LoginService:DOSRequestTimeFrameMS
OpenSim.Server.Handlers.Login,OpenSim/Server/Handlers/Login/LLLoginServiceInConnector.cs,97,5,LoginService:DOSMaxRequestsInTimeFrame
OpenSim.Server.Handlers.Login,OpenSim/Server/Handlers/Login/LLLoginServiceInConnector.cs,99,120000,LoginService:DOSForgiveClientAfterMS
OpenSim.Server.Handlers.MapImage,OpenSim/Server/Handlers/Map/MapAddServerConnector.cs,81,false,
OpenSim.Server.Handlers.Neighbour,OpenSim/Server/Handlers/Neighbour/NeighbourServiceInConnector.cs,59,false,
OpenSim.Server.Handlers.Profiles,OpenSim/Server/Handlers/Profiles/UserProfilesConnector.cs,72,false,
OpenSim,OpenSim/Region/Application/ConfigurationLoader.cs,85,"""OpenSim.ini.template""",Startup:inimaster
OpenSim,OpenSim/Region/Application/ConfigurationLoader.cs,118,"""OpenSim.ini""",Startup:inifile
OpenSim,OpenSim/Region/Application/ConfigurationLoader.cs,170,"""config""",Startup:inidirectory
OpenSim,OpenSim/Region/Application/ConfigurationLoader.cs,423,"""OpenSim.Region.ClientStack.LindenUDP.dll""",Startup:clientstack_plugin
OpenSim,OpenSim/Region/Application/OpenSim.cs,99,"""startup_commands.txt""",Startup:startup_console_commands_file
OpenSim,OpenSim/Region/Application/OpenSim.cs,100,"""shutdown_commands.txt""",Startup:shutdown_console_commands_file
OpenSim,OpenSim/Region/Application/OpenSim.cs,103,false,Startup:gui
OpenSim,OpenSim/Region/Application/OpenSim.cs,108,0,Network:console_port
OpenSim,OpenSim/Region/Application/OpenSim.cs,110,"""disabled""",Startup:timer_Script
OpenSim,OpenSim/Region/Application/OpenSim.cs,113,1200,Startup:timer_Interval
OpenSim,OpenSim/Region/Application/OpenSim.cs,121,2,Startup:MinPoolThreads
OpenSim,OpenSim/Region/Application/OpenSim.cs,122,25,Startup:MaxPoolThreads
OpenSim,OpenSim/Region/Application/OpenSim.cs,125,30000,Startup:DnsTimeout
OpenSim,OpenSim/Region/Application/OpenSimBase.cs,166,"""""",Network:proxy_url
OpenSim,OpenSim/Region/Application/OpenSimBase.cs,167,"""0""",Network:proxy_offset
OpenSim,OpenSim/Region/Application/OpenSimBase.cs,173,true,Startup:LogOverloads
OpenSim,OpenSim/Region/Application/OpenSimBase.cs,223,false,Startup:CombineContiguousRegions
OpenSim,OpenSim/Region/Application/OpenSimBase.cs,235,true,Startup:SecurePermissionsLoading
OpenSim,OpenSim/Region/Application/OpenSimBase.cs,353,true,Startup:JobEngineEnabled
OpenSim,OpenSim/Region/Application/OpenSimBase.cs,358,false,Startup:EnableSelfsignedCertSupport
OpenSim,OpenSim/Region/Application/OpenSimBase.cs,371,false,Startup:EnableCertConverter
OpenSim.Region.ScriptEngine.Yengine,OpenSim/Region/ScriptEngine/YEngine/XMREngine.cs,207,false,
OpenSim.Region.ScriptEngine.Yengine,OpenSim/Region/ScriptEngine/YEngine/XMREngine.cs,212,2,
OpenSim.Region.ScriptEngine.Yengine,OpenSim/Region/ScriptEngine/YEngine/XMREngine.cs,213,"""Normal""",
OpenSim.Region.ScriptEngine.Yengine,OpenSim/Region/ScriptEngine/YEngine/XMREngine.cs,214,false,
OpenSim.Region.ScriptEngine.Yengine,OpenSim/Region/ScriptEngine/YEngine/XMREngine.cs,215,false,
OpenSim.Region.ScriptEngine.Yengine,OpenSim/Region/ScriptEngine/YEngine/XMREngine.cs,216,false,
OpenSim.Region.ScriptEngine.Yengine,OpenSim/Region/ScriptEngine/YEngine/XMREngine.cs,217,false,
OpenSim.Region.ScriptEngine.Yengine,OpenSim/Region/ScriptEngine/YEngine/XMREngine.cs,218,false,
OpenSim.Region.ScriptEngine.Yengine,OpenSim/Region/ScriptEngine/YEngine/XMREngine.cs,220,2048,
OpenSim.Region.ScriptEngine.Yengine,OpenSim/Region/ScriptEngine/YEngine/XMREngine.cs,221,1024,
OpenSim.Region.ScriptEngine.Yengine,OpenSim/Region/ScriptEngine/YEngine/XMREngine.cs,264,10,
OpenSim.Region.ScriptEngine.Shared.Api,OpenSim/Region/ScriptEngine/Shared/Api/Implementation/AsyncCommandManager.cs,186,100,
OpenSim.Region.ScriptEngine.Shared.Api,OpenSim/Region/ScriptEngine/Shared/Api/Implementation/LSL_Api.cs,399,false,
OpenSim.Region.ScriptEngine.Shared.Api,OpenSim/Region/ScriptEngine/Shared/Api/Implementation/LSL_Api.cs,444,false,
OpenSim.Region.ScriptEngine.Shared.Api,OpenSim/Region/ScriptEngine/Shared/Api/Implementation/LSL_Api.cs,446,true,
OpenSim.Region.ScriptEngine.Shared.Api,OpenSim/Region/ScriptEngine/Shared/Api/Implementation/LS_Api.cs,75,false,
OpenSim.Region.ScriptEngine.Shared.Api,OpenSim/Region/ScriptEngine/Shared/Api/Implementation/MOD_Api.cs,80,false,
OpenSim.Region.ScriptEngine.Shared.Api,OpenSim/Region/ScriptEngine/Shared/Api/Implementation/OSSL_Api.cs,192,true,
