Section                | Key                                       | Value in OpenSimDefaults.ini                                                                                                                                                                                                | Value in OpenSim.ini                                                                                                                                                                                                        | Value in OpenSim.ini.template                                               
LL-Functions           | UpperAvatarBoundingBoxGroundsittingZconst | 0.5                                                                                                                                                                                                                         | 0.5                                                                                                                                                                                                                         | 0.5     ; PURPOSE: top Z constant when ground-sitting                       
LL-Functions           | UpperAvatarBoundingBoxGroundsittingZcoeff | 0.0                                                                                                                                                                                                                         | 0.0                                                                                                                                                                                                                         | 0.0     ; PURPOSE: top Z scaled by avatar height when ground-sitting        
LL-Functions           | LowerAvatarBoundingBoxSittingXconst       | -0.5875                                                                                                                                                                                                                     | -0.5875                                                                                                                                                                                                                     | -0.5875    ; PURPOSE: left extent X constant when sitting                   
LL-Functions           | UpperAvatarBoundingBoxSittingXconst       | 0.1875                                                                                                                                                                                                                      | 0.1875                                                                                                                                                                                                                      | 0.1875    ; PURPOSE: right extent X constant when sitting                   
LL-Functions           | LowerAvatarBoundingBoxSittingYconst       | -0.35                                                                                                                                                                                                                       | -0.35                                                                                                                                                                                                                       | -0.35      ; PURPOSE: back extent Y constant when sitting                   
LL-Functions           | UpperAvatarBoundingBoxSittingYconst       | 0.35                                                                                                                                                                                                                        | 0.35                                                                                                                                                                                                                        | 0.35      ; PURPOSE: front extent Y constant when sitting                   
LL-Functions           | LowerAvatarBoundingBoxSittingZconst       | -0.35                                                                                                                                                                                                                       | -0.35                                                                                                                                                                                                                       | -0.35      ; PURPOSE: base Z constant when sitting                          
LL-Functions           | LowerAvatarBoundingBoxSittingZcoeff       | -0.375                                                                                                                                                                                                                      | -0.375                                                                                                                                                                                                                      | -0.375     ; PURPOSE: base Z scaled by avatar height when sitting           
LL-Functions           | UpperAvatarBoundingBoxSittingZconst       | -0.25                                                                                                                                                                                                                       | -0.25                                                                                                                                                                                                                       | -0.25      ; PURPOSE: top Z constant when sitting                           
LL-Functions           | UpperAvatarBoundingBoxSittingZcoeff       | 0.25                                                                                                                                                                                                                        | 0.25                                                                                                                                                                                                                        | 0.25      ; PURPOSE: top Z scaled by avatar height when sitting             
LL-Functions           | PrimBoundingBoxSafetyCoefficientX         | 2.414214                                                                                                                                                                                                                    | 2.414214                                                                                                                                                                                                                    | 2.414214  ; PURPOSE: safety factor for X bounds worst-case twisted/sheared  
LL-Functions           | PrimBoundingBoxSafetyCoefficientY         | 2.414214                                                                                                                                                                                                                    | 2.414214                                                                                                                                                                                                                    | 2.414214  ; PURPOSE: safety factor for Y bounds worst-case twisted/sheared  
LL-Functions           | PrimBoundingBoxSafetyCoefficientZ         | 1.618034                                                                                                                                                                                                                    | 1.618034                                                                                                                                                                                                                    | 1.618034  ; PURPOSE: safety factor for Z bounds worst-case tube style shapes
DataSnapshot           | index_sims                                | false                                                                                                                                                                                                                       | true                                                                                                                                                                                                                        | false                                                                       
DataSnapshot           | data_exposure                             | minimum                                                                                                                                                                                                                     | all                                                                                                                                                                                                                         | minimum                                                                     
DataSnapshot           | gridname                                  | "OSGrid"                                                                                                                                                                                                                    | "Moonlight"                                                                                                                                                                                                                 | "OSGrid"                                                                    
YEngine                | ScriptHeapSize                            | 1024                                                                                                                                                                                                                        | 2048                                                                                                                                                                                                                        | 1024                                                                        
YEngine                | NumThreadScriptWorkers                    | 2                                                                                                                                                                                                                           | 4                                                                                                                                                                                                                           | 2                                                                           
YEngine                | Priority                                  | Normal                                                                                                                                                                                                                      | "AboveNormal"                                                                                                                                                                                                               | Normal                                                                      
YEngine                | AsyncLLCommandLoopms                      | 100                                                                                                                                                                                                                         | 50                                                                                                                                                                                                                          | 100                                                                         
Concierge              | regions                                   | "^MeetingSpace-"                                                                                                                                                                                                            | "^MeetingSpace-"                                                                                                                                                                                                            | ""                                                                          
VivoxVoice             | enabled                                   | false                                                                                                                                                                                                                       | true                                                                                                                                                                                                                        | false                                                                       
VivoxVoice             | vivox_server                              | www.foobar.vivox.com                                                                                                                                                                                                        | www.osp.vivox.com                                                                                                                                                                                                           | www.foobar.vivox.com                                                        
VivoxVoice             | vivox_sip_uri                             | foobar.vivox.com                                                                                                                                                                                                            | osp.vivox.com                                                                                                                                                                                                               | foobar.vivox.com                                                            
VivoxVoice             | vivox_admin_user                          | DeepThroat                                                                                                                                                                                                                  | sonjomas6622-admin                                                                                                                                                                                                          | DeepThroat                                                                  
VivoxVoice             | vivox_admin_password                      | VoiceG4te                                                                                                                                                                                                                   | 8aIc7Aty                                                                                                                                                                                                                    | VoiceG4te                                                                   
Groups                 | Enabled                                   | false                                                                                                                                                                                                                       | true                                                                                                                                                                                                                        | false                                                                       
Groups                 | Module                                    | Default                                                                                                                                                                                                                     | "Groups Module V2"                                                                                                                                                                                                          | Default                                                                     
Groups                 | MessagingModule                           | GroupsMessagingModule                                                                                                                                                                                                       | "Groups Messaging Module V2"                                                                                                                                                                                                | GroupsMessagingModule                                                       
Groups                 | MessageOnlineUsersOnly                    | false                                                                                                                                                                                                                       | true                                                                                                                                                                                                                        | false                                                                       
Groups                 | ServicesConnectorModule                   | XmlRpcGroupsServicesConnector                                                                                                                                                                                               | "Groups HG Service Connector"                                                                                                                                                                                               | XmlRpcGroupsServicesConnector                                               
Groups                 | GroupsServerURI                           | http://yourxmlrpcserver.com/xmlrpc.php                                                                                                                                                                                      | ${Const|PrivURL}:${Const|PrivatePort}                                                                                                                                                                                       | http://yourxmlrpcserver.com/xmlrpc.php                                      
InterestManagement     | ObjectsCullingByDistance                  | false                                                                                                                                                                                                                       | true                                                                                                                                                                                                                        | false                                                                       
NPC                    | MaxNumberNPCsPerScene                     |                                                                                                                                                                                                                             | 42                                                                                                                                                                                                                          | 40                                                                          
LandManagement         | ShowParcelBansLines                       | true                                                                                                                                                                                                                        | false                                                                                                                                                                                                                       | true                                                                        
JsonStore              | Enabled                                   | False                                                                                                                                                                                                                       | true                                                                                                                                                                                                                        | False                                                                       
JsonStore              | MaxStringSpace                            | 0                                                                                                                                                                                                                           | 8192                                                                                                                                                                                                                        | 0                                                                           
Architecture           | Include-Architecture                      |                                                                                                                                                                                                                             | "config-include/GridHypergrid.ini"                                                                                                                                                                                          | "config-include/Standalone.ini"                                             
