Section,Key,Present in OpenSimDefaults.ini,Present in OpenSim.ini,Present in OpenSim.ini.template,Notes
Appearance,PersistBakedTextures,yes,yes,yes,
Appearance,DelayBeforeAppearanceSave,yes,yes,yes,
Appearance,DelayBeforeAppearanceSend,yes,yes,yes,
Appearance,ResendAppearanceUpdates,yes,yes,yes,
Appearance,ReuseTextures,yes,yes,yes,
Attachments,Enabled,yes,yes,yes,
Attachments,WearReplacesAll,yes,yes,yes,"present but commented: OpenSimDefaults.ini, OpenSim.ini | conflicting default values: OpenSimDefaults.ini+OpenSim.ini=true; OpenSim.ini.template=false"
Mesh,AllowMeshUpload,yes,yes,yes,
Mesh,LevelUpload,yes,yes,yes,"present but commented: OpenSimDefaults.ini, OpenSim.ini"
Mesh,UseMeshiesPhysicsMesh,yes,yes,yes,"present but commented: OpenSimDefaults.ini, OpenSim.ini, OpenSim.ini.template"
Mesh,ConvexPrims,yes,yes,yes,"present but commented: OpenSimDefaults.ini, OpenSim.ini"
Mesh,ConvexSculpts,yes,yes,yes,"present but commented: OpenSimDefaults.ini, OpenSim.ini"
Mesh,MeshFileCache,yes,yes,yes,"present but commented: OpenSimDefaults.ini, OpenSim.ini"
Mesh,MeshFileCachePath,yes,yes,yes,"present but commented: OpenSimDefaults.ini, OpenSim.ini"
Mesh,MeshFileCacheDoExpire,yes,yes,yes,"present but commented: OpenSimDefaults.ini, OpenSim.ini"
Mesh,MeshFileCacheExpireHours,yes,yes,yes,"present but commented: OpenSimDefaults.ini, OpenSim.ini | conflicting default values: OpenSimDefaults.ini+OpenSim.ini=48; OpenSim.ini.template=72"
Textures,ReuseDynamicTextures,yes,yes,yes,
Textures,ReuseDynamicLowDataTextures,yes,yes,yes,
ODEPhysicsSettings,collect_stats,yes,yes,yes,
ODEPhysicsSettings,physics_logging,yes,yes,yes,"present but commented: OpenSimDefaults.ini, OpenSim.ini | conflicting default values: OpenSimDefaults.ini+OpenSim.ini=true; OpenSim.ini.template=false"
ODEPhysicsSettings,physics_logging_interval,yes,yes,yes,"present but commented: OpenSimDefaults.ini, OpenSim.ini, OpenSim.ini.template"
ODEPhysicsSettings,physics_logging_append_existing_logfile,yes,yes,yes,"present but commented: OpenSimDefaults.ini, OpenSim.ini, OpenSim.ini.template"
