Key                         | Reader locations                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   | Defaults used                                                               | Risk description                                        
GridUserService             | OpenSim/Services/HypergridService/GatekeeperService.cs:95 (section=GatekeeperService, default=string.Empty); OpenSim/Services/HypergridService/UserAgentService.cs:110 (section=UserAgentService, default=String.Empty); OpenSim/Services/LLLoginService/LLLoginService.cs:109 (section=LoginService, default=string.Empty); OpenSim/Services/UserAccountService/UserAccountService.cs:75 (section=UserAccountService, default=string.Empty)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       | String.Empty; string.Empty                                                  | read from multiple sections; different fallback defaults
WelcomeMessage              | OpenSim/Services/HypergridService/GatekeeperService.cs:103 (section=GatekeeperService, default="Welcome to OpenSim!"); OpenSim/Services/LLLoginService/LLLoginService.cs:120 (section=LoginService, default="Welcome to OpenSim!"); OpenSim/Services/LLLoginService/LLLoginService.cs:185 (section=LoginService, default="Welcome to OpenSim!")                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    | "Welcome to OpenSim!"                                                       | read from multiple sections                             
MessageKey                  | OpenSim/Services/HypergridService/GatekeeperService.cs:201 (section=Messaging, default=String.Empty); OpenSim/Services/HypergridService/HGInstantMessageService.cs:129 (section=Messaging, default=string.Empty); OpenSim/Services/LLLoginService/LLLoginService.cs:213 (section=Messaging, default=string.Empty); OpenSim/Region/CoreModules/Avatar/InstantMessage/MessageTransferModule.cs:82 (section=Messaging, default=string.Empty)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | String.Empty; string.Empty                                                  | different fallback defaults                             
FriendsService              | OpenSim/Services/HypergridService/HGFriendsService.cs:87 (section=UNKNOWN, default=string.Empty); OpenSim/Services/HypergridService/UserAgentService.cs:112 (section=UserAgentService, default=String.Empty); OpenSim/Services/LLLoginService/LLLoginService.cs:116 (section=LoginService, default=string.Empty)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   | String.Empty; string.Empty                                                  | read from multiple sections; different fallback defaults
ForwardOfflineGroupMessages | OpenSim/Services/HypergridService/HGInstantMessageService.cs:130 (section=Messaging, default=false); OpenSim/Region/CoreModules/Avatar/InstantMessage/OfflineMessageModule.cs:85 (section=Messaging, default=m_ForwardOfflineGroupMessages); OpenSim/Addons/OfflineIM/OfflineIMRegionModule.cs:71 (section=Messaging, default=m_ForwardOfflineGroupMessages)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       | false; m_ForwardOfflineGroupMessages                                        | different fallback defaults                             
OfflineIMService            | OpenSim/Services/HypergridService/HGInstantMessageService.cs:136 (section=Messaging, default=string.Empty); OpenSim/Addons/Groups/Hypergrid/HGGroupsServiceRobustConnector.cs:78 (section=UNKNOWN, default=string.Empty)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | string.Empty                                                                | read from multiple sections                             
AvatarService               | OpenSim/Services/HypergridService/HGSuitcaseInventoryService.cs:91 (section=UNKNOWN, default=string.Empty); OpenSim/Services/LLLoginService/LLLoginService.cs:117 (section=LoginService, default=string.Empty); OpenSim/Services/UserAccountService/UserAccountService.cs:83 (section=UserAccountService, default=string.Empty)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    | string.Empty                                                                | read from multiple sections                             
name                        | OpenSim/Services/InventoryService/LibraryService.cs:175 (section=LibraryService, default="unknown"); OpenSim/Services/InventoryService/LibraryService.cs:208 (section=LibraryService, default=String.Empty); OpenSim/Framework/AssetLoader/Filesystem/AssetLoaderFileSystem.cs:146 (section=UNKNOWN, default=String.Empty); OpenSim/Data/MySQL/MySQLUserProfilesData.cs:293 (section=UNKNOWN, default=none)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | ; "unknown"; String.Empty                                                   | read from multiple sections; different fallback defaults
assetID                     | OpenSim/Services/InventoryService/LibraryService.cs:206 (section=LibraryService, default=item.ID.ToString(); OpenSim/Framework/AssetLoader/Filesystem/AssetLoaderFileSystem.cs:145 (section=UNKNOWN, default=UUID.Random()                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         | UUID.Random(; item.ID.ToString(                                             | read from multiple sections; different fallback defaults
description                 | OpenSim/Services/InventoryService/LibraryService.cs:209 (section=LibraryService, default=item.Name); OpenSim/Data/MySQL/MySQLUserProfilesData.cs:294 (section=UNKNOWN, default=none)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | ; item.Name                                                                 | read from multiple sections; different fallback defaults
